bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
446875,680334,text,66411,text/html,Introduced,https://legiscan.com/MI/text/HB4001/id/680334,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4001.htm
446875,993631,text,188051,text/html,Engrossed,https://legiscan.com/MI/text/HB4001/id/993631,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4001.htm
446875,1057008,text,183850,text/html,Engrossed,https://legiscan.com/MI/text/HB4001/id/1057008,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4001.htm
446875,1062362,text,40365,text/html,Enrolled,https://legiscan.com/MI/text/HB4001/id/1062362,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4001.htm
446858,680310,text,15543,text/html,Introduced,https://legiscan.com/MI/text/HB4002/id/680310,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4002.htm
446858,825377,text,23953,text/html,Engrossed,https://legiscan.com/MI/text/HB4002/id/825377,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4002.htm
446858,894664,text,24563,text/html,Engrossed,https://legiscan.com/MI/text/HB4002/id/894664,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4002.htm
446858,895463,text,6403,text/html,Enrolled,https://legiscan.com/MI/text/HB4002/id/895463,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4002.htm
446858,896197,text,6775,text/html,Chaptered,https://legiscan.com/MI/text/HB4002/id/896197,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0133.htm
446842,680308,text,67939,text/html,Introduced,https://legiscan.com/MI/text/HB4003/id/680308,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4003.htm
446842,934974,text,68005,text/html,Engrossed,https://legiscan.com/MI/text/HB4003/id/934974,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4003.htm
446842,1034034,text,83363,text/html,Engrossed,https://legiscan.com/MI/text/HB4003/id/1034034,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4003.htm
446842,1035372,text,20290,text/html,Enrolled,https://legiscan.com/MI/text/HB4003/id/1035372,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4003.htm
446842,1038556,text,20535,text/html,Chaptered,https://legiscan.com/MI/text/HB4003/id/1038556,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2014-PA-0240.htm
446824,680284,text,8949,text/html,Introduced,https://legiscan.com/MI/text/HB4004/id/680284,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4004.htm
446809,680244,text,9224,text/html,Introduced,https://legiscan.com/MI/text/HB4005/id/680244,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4005.htm
446791,680241,text,22640,text/html,Introduced,https://legiscan.com/MI/text/HB4006/id/680241,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4006.htm
446777,680219,text,3272,text/html,Introduced,https://legiscan.com/MI/text/HB4007/id/680219,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4007.htm
466254,699769,text,7019,text/html,Introduced,https://legiscan.com/MI/text/HB4008/id/699769,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4008.htm
466245,699760,text,113893,text/html,Introduced,https://legiscan.com/MI/text/HB4009/id/699760,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4009.htm
466233,699749,text,147152,text/html,Introduced,https://legiscan.com/MI/text/HB4010/id/699749,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4010.htm
466221,699740,text,74182,text/html,Introduced,https://legiscan.com/MI/text/HB4011/id/699740,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4011.htm
466211,699730,text,5399,text/html,Introduced,https://legiscan.com/MI/text/HB4012/id/699730,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4012.htm
466198,699717,text,66435,text/html,Introduced,https://legiscan.com/MI/text/HB4013/id/699717,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4013.htm
466189,699707,text,7410,text/html,Introduced,https://legiscan.com/MI/text/HB4014/id/699707,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4014.htm
466177,699695,text,62582,text/html,Introduced,https://legiscan.com/MI/text/HB4015/id/699695,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4015.htm
466167,699685,text,16737,text/html,Introduced,https://legiscan.com/MI/text/HB4016/id/699685,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4016.htm
466155,699674,text,42034,text/html,Introduced,https://legiscan.com/MI/text/HB4017/id/699674,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4017.htm
466142,699661,text,11834,text/html,Introduced,https://legiscan.com/MI/text/HB4018/id/699661,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4018.htm
466129,699648,text,14682,text/html,Introduced,https://legiscan.com/MI/text/HB4019/id/699648,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4019.htm
466121,699640,text,27757,text/html,Introduced,https://legiscan.com/MI/text/HB4020/id/699640,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4020.htm
466110,699630,text,10337,text/html,Introduced,https://legiscan.com/MI/text/HB4021/id/699630,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4021.htm
466110,900094,text,11351,text/html,Engrossed,https://legiscan.com/MI/text/HB4021/id/900094,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4021.htm
466110,1047483,text,12101,text/html,Engrossed,https://legiscan.com/MI/text/HB4021/id/1047483,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4021.htm
466110,1047926,text,3941,text/html,Enrolled,https://legiscan.com/MI/text/HB4021/id/1047926,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4021.htm
466110,1048385,text,4346,text/html,Chaptered,https://legiscan.com/MI/text/HB4021/id/1048385,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2014-PA-0330.htm
466098,699618,text,48853,text/html,Introduced,https://legiscan.com/MI/text/HB4022/id/699618,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4022.htm
466089,699609,text,199822,text/html,Introduced,https://legiscan.com/MI/text/HB4023/id/699609,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4023.htm
466075,699597,text,28301,text/html,Introduced,https://legiscan.com/MI/text/HB4024/id/699597,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4024.htm
466063,699585,text,22280,text/html,Introduced,https://legiscan.com/MI/text/HB4025/id/699585,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4025.htm
466052,699574,text,20748,text/html,Introduced,https://legiscan.com/MI/text/HB4026/id/699574,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4026.htm
466052,815851,text,15263,text/html,Engrossed,https://legiscan.com/MI/text/HB4026/id/815851,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4026.htm
466041,699563,text,32236,text/html,Introduced,https://legiscan.com/MI/text/HB4027/id/699563,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4027.htm
466029,699552,text,125441,text/html,Introduced,https://legiscan.com/MI/text/HB4028/id/699552,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4028.htm
466018,699541,text,92514,text/html,Introduced,https://legiscan.com/MI/text/HB4029/id/699541,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4029.htm
466007,699530,text,67274,text/html,Introduced,https://legiscan.com/MI/text/HB4030/id/699530,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4030.htm
465994,699517,text,25401,text/html,Introduced,https://legiscan.com/MI/text/HB4031/id/699517,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4031.htm
465983,699506,text,6660,text/html,Introduced,https://legiscan.com/MI/text/HB4032/id/699506,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4032.htm
465973,699496,text,15296,text/html,Introduced,https://legiscan.com/MI/text/HB4033/id/699496,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4033.htm
465961,699484,text,7304,text/html,Introduced,https://legiscan.com/MI/text/HB4034/id/699484,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4034.htm
465950,699473,text,20069,text/html,Introduced,https://legiscan.com/MI/text/HB4035/id/699473,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4035.htm
465937,699460,text,35444,text/html,Introduced,https://legiscan.com/MI/text/HB4036/id/699460,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4036.htm
465928,699451,text,48591,text/html,Introduced,https://legiscan.com/MI/text/HB4037/id/699451,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4037.htm
465928,770522,text,52923,text/html,Engrossed,https://legiscan.com/MI/text/HB4037/id/770522,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4037.htm
465928,835947,text,53208,text/html,Engrossed,https://legiscan.com/MI/text/HB4037/id/835947,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4037.htm
465928,838642,text,15117,text/html,Enrolled,https://legiscan.com/MI/text/HB4037/id/838642,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4037.htm
465928,849097,text,15444,text/html,Chaptered,https://legiscan.com/MI/text/HB4037/id/849097,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0027.htm
465914,699437,text,35516,text/html,Introduced,https://legiscan.com/MI/text/HB4038/id/699437,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4038.htm
465914,853151,text,41102,text/html,Engrossed,https://legiscan.com/MI/text/HB4038/id/853151,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4038.htm
465914,1052941,text,41644,text/html,Engrossed,https://legiscan.com/MI/text/HB4038/id/1052941,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4038.htm
465914,1053732,text,9892,text/html,Enrolled,https://legiscan.com/MI/text/HB4038/id/1053732,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4038.htm
465914,1057160,text,10297,text/html,Chaptered,https://legiscan.com/MI/text/HB4038/id/1057160,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2014-PA-0358.htm
465905,699428,text,22018,text/html,Introduced,https://legiscan.com/MI/text/HB4039/id/699428,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4039.htm
465894,699417,text,34237,text/html,Introduced,https://legiscan.com/MI/text/HB4040/id/699417,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4040.htm
465880,699403,text,157734,text/html,Introduced,https://legiscan.com/MI/text/HB4041/id/699403,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4041.htm
465870,699393,text,8870,text/html,Introduced,https://legiscan.com/MI/text/HB4042/id/699393,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4042.htm
465870,790040,text,8864,text/html,Engrossed,https://legiscan.com/MI/text/HB4042/id/790040,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4042.htm
465870,850698,text,9033,text/html,Engrossed,https://legiscan.com/MI/text/HB4042/id/850698,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4042.htm
465870,852685,text,3938,text/html,Enrolled,https://legiscan.com/MI/text/HB4042/id/852685,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4042.htm
465870,862841,text,4297,text/html,Chaptered,https://legiscan.com/MI/text/HB4042/id/862841,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0041.htm
465856,699379,text,10236,text/html,Introduced,https://legiscan.com/MI/text/HB4043/id/699379,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4043.htm
465845,699370,text,5507,text/html,Introduced,https://legiscan.com/MI/text/HB4044/id/699370,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4044.htm
465845,901547,text,5466,text/html,Engrossed,https://legiscan.com/MI/text/HB4044/id/901547,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4044.htm
465835,699360,text,15914,text/html,Introduced,https://legiscan.com/MI/text/HB4045/id/699360,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4045.htm
465835,737069,text,9435,text/html,Engrossed,https://legiscan.com/MI/text/HB4045/id/737069,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4045.htm
465835,814867,text,9464,text/html,Engrossed,https://legiscan.com/MI/text/HB4045/id/814867,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4045.htm
465835,822347,text,2788,text/html,Enrolled,https://legiscan.com/MI/text/HB4045/id/822347,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4045.htm
465835,832997,text,3184,text/html,Chaptered,https://legiscan.com/MI/text/HB4045/id/832997,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0018.htm
465824,699349,text,9314,text/html,Introduced,https://legiscan.com/MI/text/HB4046/id/699349,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4046.htm
465813,699339,text,48752,text/html,Introduced,https://legiscan.com/MI/text/HB4047/id/699339,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4047.htm
465802,699329,text,31826,text/html,Introduced,https://legiscan.com/MI/text/HB4048/id/699329,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4048.htm
465786,699314,text,6826,text/html,Introduced,https://legiscan.com/MI/text/HB4049/id/699314,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4049.htm
465775,699304,text,62312,text/html,Introduced,https://legiscan.com/MI/text/HB4050/id/699304,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4050.htm
465775,778188,text,64839,text/html,Engrossed,https://legiscan.com/MI/text/HB4050/id/778188,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4050.htm
465775,850626,text,64983,text/html,Engrossed,https://legiscan.com/MI/text/HB4050/id/850626,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4050.htm
465775,852569,text,13872,text/html,Enrolled,https://legiscan.com/MI/text/HB4050/id/852569,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4050.htm
465775,862442,text,14200,text/html,Chaptered,https://legiscan.com/MI/text/HB4050/id/862442,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0038.htm
465764,699294,text,32283,text/html,Introduced,https://legiscan.com/MI/text/HB4051/id/699294,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4051.htm
465753,699284,text,80829,text/html,Introduced,https://legiscan.com/MI/text/HB4052/id/699284,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4052.htm
465753,770611,text,91694,text/html,Engrossed,https://legiscan.com/MI/text/HB4052/id/770611,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4052.htm
465753,817412,text,92092,text/html,Engrossed,https://legiscan.com/MI/text/HB4052/id/817412,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4052.htm
465753,822220,text,12506,text/html,Enrolled,https://legiscan.com/MI/text/HB4052/id/822220,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4052.htm
465753,833037,text,12840,text/html,Chaptered,https://legiscan.com/MI/text/HB4052/id/833037,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0016.htm
465743,699274,text,59473,text/html,Introduced,https://legiscan.com/MI/text/HB4053/id/699274,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4053.htm
465743,770612,text,59432,text/html,Engrossed,https://legiscan.com/MI/text/HB4053/id/770612,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4053.htm
465743,817816,text,59849,text/html,Engrossed,https://legiscan.com/MI/text/HB4053/id/817816,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4053.htm
465743,822202,text,8681,text/html,Enrolled,https://legiscan.com/MI/text/HB4053/id/822202,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4053.htm
465743,833058,text,9046,text/html,Chaptered,https://legiscan.com/MI/text/HB4053/id/833058,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0017.htm
465729,699263,text,26448,text/html,Introduced,https://legiscan.com/MI/text/HB4054/id/699263,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4054.htm
465729,773460,text,46147,text/html,Engrossed,https://legiscan.com/MI/text/HB4054/id/773460,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4054.htm
465729,830500,text,52993,text/html,Engrossed,https://legiscan.com/MI/text/HB4054/id/830500,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4054.htm
465729,838267,text,12330,text/html,Enrolled,https://legiscan.com/MI/text/HB4054/id/838267,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4054.htm
465729,847063,text,12722,text/html,Chaptered,https://legiscan.com/MI/text/HB4054/id/847063,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0032.htm
465718,699252,text,17062,text/html,Introduced,https://legiscan.com/MI/text/HB4055/id/699252,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4055.htm
465708,699243,text,11201,text/html,Introduced,https://legiscan.com/MI/text/HB4056/id/699243,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4056.htm
465695,699231,text,7982,text/html,Introduced,https://legiscan.com/MI/text/HB4057/id/699231,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4057.htm
465684,699221,text,74282,text/html,Introduced,https://legiscan.com/MI/text/HB4058/id/699221,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4058.htm
465674,699210,text,13133,text/html,Introduced,https://legiscan.com/MI/text/HB4059/id/699210,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4059.htm
465661,699199,text,58349,text/html,Introduced,https://legiscan.com/MI/text/HB4060/id/699199,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4060.htm
465652,699189,text,98012,text/html,Introduced,https://legiscan.com/MI/text/HB4061/id/699189,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4061.htm
465639,699177,text,7582,text/html,Introduced,https://legiscan.com/MI/text/HB4062/id/699177,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4062.htm
465628,699167,text,90476,text/html,Introduced,https://legiscan.com/MI/text/HB4063/id/699167,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4063.htm
465616,699157,text,74376,text/html,Introduced,https://legiscan.com/MI/text/HB4064/id/699157,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4064.htm
465616,775435,text,76377,text/html,Engrossed,https://legiscan.com/MI/text/HB4064/id/775435,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4064.htm
465616,900163,text,47732,text/html,Engrossed,https://legiscan.com/MI/text/HB4064/id/900163,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4064.htm
465616,901473,text,5192,text/html,Enrolled,https://legiscan.com/MI/text/HB4064/id/901473,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4064.htm
465616,906914,text,5534,text/html,Chaptered,https://legiscan.com/MI/text/HB4064/id/906914,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0199.htm
465606,699147,text,18956,text/html,Introduced,https://legiscan.com/MI/text/HB4065/id/699147,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4065.htm
465595,699136,text,17976,text/html,Introduced,https://legiscan.com/MI/text/HB4066/id/699136,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4066.htm
465583,699124,text,16032,text/html,Introduced,https://legiscan.com/MI/text/HB4067/id/699124,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4067.htm
465572,699114,text,28600,text/html,Introduced,https://legiscan.com/MI/text/HB4068/id/699114,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4068.htm
465561,699103,text,97224,text/html,Introduced,https://legiscan.com/MI/text/HB4069/id/699103,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4069.htm
465561,794176,text,103251,text/html,Engrossed,https://legiscan.com/MI/text/HB4069/id/794176,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBH-4069.htm
465561,844541,text,103528,text/html,Engrossed,https://legiscan.com/MI/text/HB4069/id/844541,http://www.legislature.mi.gov/documents/2013-2014/billengrossed/House/htm/2013-HEBS-4069.htm
465561,856437,text,22021,text/html,Enrolled,https://legiscan.com/MI/text/HB4069/id/856437,http://www.legislature.mi.gov/documents/2013-2014/billenrolled/House/htm/2013-HNB-4069.htm
465561,864758,text,22318,text/html,Chaptered,https://legiscan.com/MI/text/HB4069/id/864758,http://www.legislature.mi.gov/documents/2013-2014/publicact/htm/2013-PA-0048.htm
465549,699092,text,33029,text/html,Introduced,https://legiscan.com/MI/text/HB4070/id/699092,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4070.htm
465538,699082,text,12601,text/html,Introduced,https://legiscan.com/MI/text/HB4071/id/699082,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4071.htm
465525,699071,text,51789,text/html,Introduced,https://legiscan.com/MI/text/HB4072/id/699071,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4072.htm
465515,699061,text,189242,text/html,Introduced,https://legiscan.com/MI/text/HB4073/id/699061,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4073.htm
465501,699049,text,18302,text/html,Introduced,https://legiscan.com/MI/text/HB4074/id/699049,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4074.htm
465492,699040,text,30162,text/html,Introduced,https://legiscan.com/MI/text/HB4075/id/699040,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4075.htm
465479,699028,text,41897,text/html,Introduced,https://legiscan.com/MI/text/HB4076/id/699028,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4076.htm
465469,699018,text,21586,text/html,Introduced,https://legiscan.com/MI/text/HB4077/id/699018,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4077.htm
465459,699009,text,34223,text/html,Introduced,https://legiscan.com/MI/text/HB4078/id/699009,http://www.legislature.mi.gov/documents/2013-2014/billintroduced/House/htm/2013-HIB-4078.htm
