roll_call_id,people_id,vote,vote_desc
1032915,11179,2,Nay
1032915,11183,1,Yea
1032915,11184,2,Nay
1032915,11185,1,Yea
1032915,14517,2,Nay
1032915,14529,1,Yea
1032915,14538,1,Yea
1032915,17014,1,Yea
1032915,17015,1,Yea
1032915,17064,2,Nay
1032915,17091,1,Yea
1032915,17094,1,Yea
1032915,17213,2,Nay
1032915,17308,2,Nay
1032915,17385,2,Nay
1032915,18754,1,Yea
1032915,18767,1,Yea
1032915,19206,2,Nay
1032915,19704,2,Nay
1032915,20693,2,Nay
1032915,20798,2,Nay
1032915,21022,4,Absent
1032915,21042,2,Nay
1032915,21048,2,Nay
1032915,21058,1,Yea
1032915,21164,2,Nay
1032915,21165,1,Yea
1205452,17923,2,Nay
1205452,18752,1,Yea
1205452,19119,1,Yea
1205452,19137,2,Nay
1205452,19138,1,Yea
1205452,19451,2,Nay
1205452,20367,1,Yea
1205452,20642,2,Nay
1205452,20663,1,Yea
1205452,22467,1,Yea
1205452,23139,1,Yea
1007706,14517,1,Yea
1007706,17014,1,Yea
1007706,17094,1,Yea
1007706,17213,1,Yea
1007706,18754,1,Yea
1007706,18767,1,Yea
1007706,19206,1,Yea
1007706,20693,1,Yea
1007706,21058,1,Yea
1007706,21165,1,Yea
1010044,2809,1,Yea
1010044,2854,1,Yea
1010044,2865,1,Yea
1010044,2874,1,Yea
1010044,10833,1,Yea
1010044,10842,1,Yea
1010044,10851,1,Yea
1010044,10852,1,Yea
1010044,11166,2,Nay
1010044,11179,2,Nay
1010044,11183,1,Yea
1010044,11184,2,Nay
1010044,11185,1,Yea
1010044,14517,1,Yea
1010044,14529,1,Yea
1010044,14538,1,Yea
1010044,17014,1,Yea
1010044,17015,1,Yea
1010044,17064,2,Nay
1010044,17091,1,Yea
1010044,17094,1,Yea
1010044,17213,1,Yea
1010044,17308,2,Nay
1010044,17385,2,Nay
1010044,18754,1,Yea
1010044,18767,1,Yea
1010044,19206,1,Yea
1010044,19704,1,Yea
1010044,20693,1,Yea
1010044,20798,2,Nay
1010044,21022,4,Absent
1010044,21042,2,Nay
1010044,21048,2,Nay
1010044,21058,1,Yea
1010044,21164,2,Nay
1010044,21165,1,Yea
1086766,17925,1,Yea
1086766,18738,1,Yea
1086766,18739,1,Yea
1086766,18747,1,Yea
1086766,18752,1,Yea
1086766,19212,2,Nay
1086766,20367,1,Yea
1086766,20662,1,Yea
