bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1405884,2241010,text,45830,text/html,Introduced,https://legiscan.com/MI/text/HB4001/id/2241010,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4001.htm
1405884,2390895,text,9469,text/html,Engrossed,https://legiscan.com/MI/text/HB4001/id/2390895,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4001.htm
1405877,2241003,text,122741,text/html,Introduced,https://legiscan.com/MI/text/HB4002/id/2241003,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4002.htm
1432615,2269308,text,48077,text/html,Introduced,https://legiscan.com/MI/text/HB4003/id/2269308,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4003.htm
1432615,2544546,text,8131,text/html,Engrossed,https://legiscan.com/MI/text/HB4003/id/2544546,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4003.htm
1432324,2269028,text,213104,text/html,Introduced,https://legiscan.com/MI/text/HB4004/id/2269028,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4004.htm
1432515,2269213,text,112828,text/html,Introduced,https://legiscan.com/MI/text/HB4005/id/2269213,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4005.htm
1432258,2268965,text,119988,text/html,Introduced,https://legiscan.com/MI/text/HB4006/id/2268965,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4006.htm
1432637,2269328,text,50422,text/html,Introduced,https://legiscan.com/MI/text/HB4007/id/2269328,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4007.htm
1432761,2269448,text,49144,text/html,Introduced,https://legiscan.com/MI/text/HB4008/id/2269448,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4008.htm
1432402,2269105,text,66392,text/html,Introduced,https://legiscan.com/MI/text/HB4009/id/2269105,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4009.htm
1432475,2269176,text,54414,text/html,Introduced,https://legiscan.com/MI/text/HB4010/id/2269176,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4010.htm
1432744,2269430,text,82645,text/html,Introduced,https://legiscan.com/MI/text/HB4011/id/2269430,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4011.htm
1432131,2268847,text,114637,text/html,Introduced,https://legiscan.com/MI/text/HB4012/id/2268847,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4012.htm
1432581,2269276,text,150700,text/html,Introduced,https://legiscan.com/MI/text/HB4013/id/2269276,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4013.htm
1432703,2269391,text,57872,text/html,Introduced,https://legiscan.com/MI/text/HB4014/id/2269391,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4014.htm
1432703,2346779,text,27270,text/html,Engrossed,https://legiscan.com/MI/text/HB4014/id/2346779,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4014.htm
1432150,2268866,text,70826,text/html,Introduced,https://legiscan.com/MI/text/HB4015/id/2268866,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4015.htm
1432150,2309783,text,66304,text/html,Engrossed,https://legiscan.com/MI/text/HB4015/id/2309783,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4015.htm
1432150,2417224,text,37174,text/html,Engrossed,https://legiscan.com/MI/text/HB4015/id/2417224,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBS-4015.htm
1432150,2418570,text,30673,text/html,Enrolled,https://legiscan.com/MI/text/HB4015/id/2418570,http://www.legislature.mi.gov/documents/2021-2022/billenrolled/House/htm/2021-HNB-4015.htm
1432150,2422878,text,30600,text/html,Chaptered,https://legiscan.com/MI/text/HB4015/id/2422878,http://www.legislature.mi.gov/documents/2021-2022/publicact/htm/2021-PA-0046.htm
1432431,2269136,text,68423,text/html,Introduced,https://legiscan.com/MI/text/HB4016/id/2269136,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4016.htm
1432665,2269355,text,46598,text/html,Introduced,https://legiscan.com/MI/text/HB4017/id/2269355,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4017.htm
1432576,2269271,text,86971,text/html,Introduced,https://legiscan.com/MI/text/HB4018/id/2269271,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4018.htm
1432576,2298763,text,86968,text/html,Engrossed,https://legiscan.com/MI/text/HB4018/id/2298763,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4018.htm
1432195,2268908,text,86391,text/html,Introduced,https://legiscan.com/MI/text/HB4019/id/2268908,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4019.htm
1432195,2275601,text,181987,text/html,Engrossed,https://legiscan.com/MI/text/HB4019/id/2275601,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4019.htm
1432195,2376147,text,62169,text/html,Engrossed,https://legiscan.com/MI/text/HB4019/id/2376147,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBS-4019.htm
1432195,2382065,text,46916,text/html,Enrolled,https://legiscan.com/MI/text/HB4019/id/2382065,http://www.legislature.mi.gov/documents/2021-2022/billenrolled/House/htm/2021-HNB-4019.htm
1432195,2391848,text,47668,text/html,Chaptered,https://legiscan.com/MI/text/HB4019/id/2391848,http://www.legislature.mi.gov/documents/2021-2022/publicact/htm/2021-PA-0010.htm
1432508,2269206,text,87045,text/html,Introduced,https://legiscan.com/MI/text/HB4020/id/2269206,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4020.htm
1432508,2610221,text,87045,text/html,Engrossed,https://legiscan.com/MI/text/HB4020/id/2610221,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4020.htm
1432435,2269140,text,86399,text/html,Introduced,https://legiscan.com/MI/text/HB4021/id/2269140,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4021.htm
1432435,2610295,text,86399,text/html,Engrossed,https://legiscan.com/MI/text/HB4021/id/2610295,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4021.htm
1432147,2268863,text,49608,text/html,Introduced,https://legiscan.com/MI/text/HB4022/id/2268863,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4022.htm
1432147,2347995,text,21593,text/html,Engrossed,https://legiscan.com/MI/text/HB4022/id/2347995,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4022.htm
1432296,2269002,text,50325,text/html,Introduced,https://legiscan.com/MI/text/HB4023/id/2269002,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4023.htm
1432247,2268955,text,58927,text/html,Introduced,https://legiscan.com/MI/text/HB4024/id/2268955,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4024.htm
1432464,2269167,text,59585,text/html,Introduced,https://legiscan.com/MI/text/HB4025/id/2269167,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4025.htm
1432395,2269099,text,76809,text/html,Introduced,https://legiscan.com/MI/text/HB4026/id/2269099,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4026.htm
1432395,2348234,text,35024,text/html,Engrossed,https://legiscan.com/MI/text/HB4026/id/2348234,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4026.htm
1432395,2424848,text,34509,text/html,Engrossed,https://legiscan.com/MI/text/HB4026/id/2424848,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBS-4026.htm
1432395,2438410,text,20347,text/html,Enrolled,https://legiscan.com/MI/text/HB4026/id/2438410,http://www.legislature.mi.gov/documents/2021-2022/billenrolled/House/htm/2021-HNB-4026.htm
1432395,2439919,text,21110,text/html,Chaptered,https://legiscan.com/MI/text/HB4026/id/2439919,http://www.legislature.mi.gov/documents/2021-2022/publicact/htm/2021-PA-0096.htm
1432339,2269041,text,45585,text/html,Introduced,https://legiscan.com/MI/text/HB4027/id/2269041,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4027.htm
1432416,2269119,text,45222,text/html,Introduced,https://legiscan.com/MI/text/HB4028/id/2269119,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4028.htm
1432650,2269340,text,58181,text/html,Introduced,https://legiscan.com/MI/text/HB4029/id/2269340,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4029.htm
1432650,2371871,text,27511,text/html,Engrossed,https://legiscan.com/MI/text/HB4029/id/2371871,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4029.htm
1432254,2268961,text,112168,text/html,Introduced,https://legiscan.com/MI/text/HB4030/id/2268961,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4030.htm
1432254,2405190,text,51924,text/html,Engrossed,https://legiscan.com/MI/text/HB4030/id/2405190,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4030.htm
1432520,2269218,text,56844,text/html,Introduced,https://legiscan.com/MI/text/HB4031/id/2269218,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4031.htm
1432520,2391481,text,13036,text/html,Engrossed,https://legiscan.com/MI/text/HB4031/id/2391481,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBH-4031.htm
1432520,2482101,text,26311,text/html,Engrossed,https://legiscan.com/MI/text/HB4031/id/2482101,http://www.legislature.mi.gov/documents/2021-2022/billengrossed/House/htm/2021-HEBS-4031.htm
1432520,2492923,text,17609,text/html,Enrolled,https://legiscan.com/MI/text/HB4031/id/2492923,http://www.legislature.mi.gov/documents/2021-2022/billenrolled/House/htm/2021-HNB-4031.htm
1432291,2268997,text,99989,text/html,Introduced,https://legiscan.com/MI/text/HB4032/id/2268997,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4032.htm
1432427,2269132,text,58153,text/html,Introduced,https://legiscan.com/MI/text/HB4033/id/2269132,http://www.legislature.mi.gov/documents/2021-2022/billintroduced/House/htm/2021-HIB-4033.htm
