bill_id,people_id,position
1404064,19699,1
1404064,20647,3
1404064,20651,4
1404064,22463,2
1404064,22477,5
1404097,18745,1
1404097,18761,2
1404137,17064,5
1404137,17213,7
1404137,17308,2
1404137,17385,4
1404137,19206,6
1404137,19704,1
1404137,20693,3
1404137,20798,9
1404137,21022,10
1404137,21042,8
1404175,14529,1
1404175,21042,2
1404216,18745,1
1404216,18761,2
1404254,17064,5
1404254,17213,7
1404254,17308,2
1404254,17385,3
1404254,19206,6
1404254,19704,1
1404254,20693,4
1404254,20798,9
1404254,21042,8
1404294,20642,1
1404294,20647,4
1404294,20651,5
1404294,22463,2
1404294,22464,3
1404294,22477,6
1404334,22414,1
1404373,17213,3
1404373,17308,1
1404373,19704,2
1404373,21042,4
1404412,17213,3
1404412,17308,1
1404412,19704,2
1404412,21022,5
1404412,21042,4
1404454,14529,1
1404492,18745,1
1404492,18761,2
1404532,14529,1
1404532,21042,2
1404569,14529,1
1404569,21042,2
1404608,18745,1
1404608,18761,2
1404645,18745,1
1404645,18761,2
1404678,18745,1
1404678,18761,2
1405855,10833,1
1405856,10833,1
1405857,10833,1
1405858,20693,1
1405859,18768,1
1405860,10833,1
1405861,17091,1
1405862,17015,1
1405862,17094,2
1405863,17015,1
1405864,2874,1
1405865,17091,1
1405866,17094,1
1405867,20693,1
1405867,21042,2
1405868,2874,1
1405869,17094,1
1405870,17064,3
1405870,20693,1
1405870,21042,2
1405871,10833,1
1405872,10833,1
1405873,10833,1
1405874,17015,1
1405875,10833,1
1405876,17385,3
1405876,20693,1
1405876,20798,2
1405877,18740,1
1405878,20693,1
1405878,21042,2
1405879,17094,1
1405880,2874,1
1405881,2874,1
1405882,20693,1
1405883,20693,1
1405884,18751,1
1405885,10833,1
1405886,20693,1
1405886,21042,2
1405887,17015,1
1405888,17091,1
1432131,20649,1
1432134,2874,1
1432138,17924,1
1432141,2854,6
1432141,11185,5
1432141,14538,2
1432141,17094,3
1432141,18754,1
1432141,18767,8
1432141,21058,4
1432141,21165,7
1432147,20369,1
1432150,20659,1
1432155,20693,1
1432155,21165,2
1432161,17923,2
1432161,18742,4
1432161,18744,16
1432161,18746,3
1432161,18749,8
1432161,18761,17
1432161,18763,7
1432161,18764,11
1432161,18765,1
1432161,19450,10
1432161,20368,9
1432161,20644,6
1432161,20645,14
1432161,20647,18
1432161,20661,12
1432161,20666,13
1432161,20669,15
1432161,21698,5
1432164,17923,13
1432164,18740,5
1432164,18753,8
1432164,18762,2
1432164,19137,3
1432164,20419,9
1432164,20649,12
1432164,20660,10
1432164,20662,11
1432164,20665,6
1432164,22414,7
1432164,22465,4
1432164,22468,1
1432164,22475,14
1432164,22747,15
1432168,17925,1
1432175,18766,1
1432180,14538,1
1432184,18746,1
1432184,18763,7
1432184,18765,8
1432184,20368,5
1432184,20650,3
1432184,20651,4
1432184,20669,10
1432184,20675,11
1432184,22466,2
1432184,22477,9
1432184,22748,6
1432190,14538,1
1432195,18737,1
1432199,20662,2
1432199,22460,1
1432204,18742,25
1432204,18746,24
1432204,18749,12
1432204,18755,17
1432204,18761,29
1432204,18764,22
1432204,18765,36
1432204,18770,33
1432204,19212,23
1432204,19450,21
1432204,19451,35
1432204,19699,5
1432204,20368,8
1432204,20644,2
1432204,20645,6
1432204,20647,15
1432204,20650,20
1432204,20651,31
1432204,20653,27
1432204,20658,28
1432204,20661,3
1432204,20666,30
1432204,20669,18
1432204,20670,14
1432204,22463,11
1432204,22464,9
1432204,22466,26
1432204,22470,4
1432204,22471,16
1432204,22473,34
1432204,22474,1
1432204,22476,7
1432204,22477,32
1432204,22478,13
1432204,22479,10
1432204,22481,19
1432208,11166,7
1432208,17064,6
1432208,17308,1
1432208,19206,8
1432208,20693,3
1432208,21042,4
1432208,21048,5
1432208,21164,2
1432214,18742,3
1432214,18746,1
1432214,18765,4
1432214,22481,2
1432214,22748,5
1432223,2874,1
1432228,17924,4
1432228,18764,2
1432228,18765,5
1432228,18766,3
1432228,20647,1
1432234,17925,1
1432237,18739,3
1432237,18751,4
