bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1404492,987357,2021-01-13,House,"House Third Reading: Roll Call # 2",107,0,0,0,107
1404608,987358,2021-01-13,House,"House Third Reading: Roll Call # 3",107,0,0,0,107
1405855,1030036,2021-03-11,Senate,"Reported Favorably Without Amendment",5,2,0,0,7
1405855,1032915,2021-03-18,Senate,"Senate Third Reading: Passed Roll Call # 61",20,15,0,1,36
1405855,1205452,2022-05-17,House,"Reported With Recommendation Without Amendment",7,4,0,0,11
1405856,1007706,2021-02-16,Senate,"Reported Favorably Without Amendment",10,0,0,0,10
1405856,1010044,2021-02-18,Senate,"Senate Third Reading: Passed Roll Call # 14",25,10,0,1,36
1405856,1086766,2021-05-27,House,"Reported With Recommendation Without Amendment",14,5,0,0,19
1405859,1014054,2021-02-23,House,"Reported With Recommendation Without Amendment",5,0,0,0,5
1405859,1015908,2021-02-24,House,"House Third Reading: Adopted By 2/3 Vote Roll Call # 13",102,7,0,0,109
1405860,994677,2021-02-02,Senate,"Reported Favorably Without Amendment",5,0,0,0,5
1405860,1004030,2021-02-10,Senate,"Senate Third Reading: Passed Roll Call # 8",34,0,0,2,36
1405860,1004031,2021-02-10,Senate,"Senate Third Reading: Passed Roll Call # 9",35,0,0,1,36
1405860,1021654,2021-03-03,House,"Reported With Recommendation Without Amendment",13,0,0,0,13
1405860,1064718,2021-04-28,House,"House Third Reading: Given Immediate Effect Roll Call # 155",101,9,0,0,110
1405864,1016396,2021-02-25,Senate,"Reported Favorably With Substitute S-3",4,1,0,0,5
1405864,1016397,2021-02-25,Senate,"Senate Third Reading: Passed Roll Call # 19",20,15,0,1,36
1405864,1026493,2021-03-10,House,"House Third Reading: Given Immediate Effect Roll Call # 41",60,50,0,0,110
1405864,1032923,2021-03-17,Senate,"Senate Third Reading: Roll Call: Roll Call # 55",20,15,0,1,36
1405864,1032924,2021-03-17,House,"House Third Reading: Roll Call # 48",60,49,0,0,109
1405866,1016752,2021-02-24,Senate,"Reported Favorably Without Amendment",6,3,0,0,9
1405866,1022559,2021-03-04,Senate,"Senate Third Reading: Passed Roll Call # 42",20,15,0,1,36
1405866,1076317,2021-05-11,House,"Reported With Recommendation Without Amendment",5,4,0,0,9
1405866,1167989,2022-03-10,House,"House Third Reading: Given Immediate Effect Roll Call # 102",58,43,0,0,101
1405868,1032940,2021-03-18,Senate,"Reported Favorably Without Amendment",4,1,0,0,5
1405868,1032941,2021-03-18,Senate,"Senate Third Reading: Passed Roll Call # 63",20,15,0,1,36
1405869,1020350,2021-03-02,Senate,"Senate Third Reading: Passed Roll Call # 38",20,15,0,1,36
1405869,1026361,2021-03-09,House,"House Third Reading: Given Immediate Effect Roll Call # 33",59,50,0,0,109
1405872,1032899,2021-03-11,Senate,"Reported Favorably Without Amendment",5,2,0,0,7
1405872,1033056,2021-03-18,Senate,"Senate Third Reading: Passed Roll Call # 62",20,15,0,1,36
1405872,1205504,2022-05-17,House,"Reported With Recommendation Without Amendment",7,4,0,0,11
1405873,996389,2021-02-02,Senate,"Reported Favorably Without Amendment",4,1,0,0,5
