people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
22467,"TC Clements",TC,,Clements,,,2,R,1,Rep,HD-056,49943837,193135,,TC_Clements,738751,0
22468,"Andrew Fink",Andrew,,Fink,,,2,R,1,Rep,HD-058,49943858,193159,,Andrew_Fink,738756,0
22469,"David Martin",David,W.,Martin,,,2,R,1,Rep,HD-048,49943915,187895,,David_Martin_(Michigan),738743,0
22470,"Christine Morse",Christine,,Morse,,,1,D,1,Rep,HD-061,43962833,193149,,Christine_Morse,738774,0
22471,"Amos O'Neal",Amos,,O'Neal,,,1,D,1,Rep,HD-095,49943933,76476,,Amos_O'Neal,738875,0
22472,"Bryan Posthumus",Bryan,,Posthumus,,,2,R,1,Rep,HD-073,49943940,193117,,Bryan_Posthumus,334262,0
22473,"Ranjeev Puri",Ranjeev,,Puri,,,1,D,1,Rep,HD-021,45493377,193245,,Ranjeev_Puri,738661,0
22474,"Julie Rogers",Julie,M.,Rogers,,,1,D,1,Rep,HD-060,13002425,67425,,Julie_Rogers,268333,0
22475,"John Roth",John,R.,Roth,,,2,R,1,Rep,HD-104,20969474,193063,,John_Roth,738891,0
22476,"Helena Scott",Helena,,Scott,,,1,D,1,Rep,HD-007,39849786,193115,,Helena_Scott,580349,0
22477,"Samantha Steckloff",Samantha,,Steckloff,,,1,D,1,Rep,HD-037,24678163,146811,,Samantha_Steckloff,738720,0
22478,"Richard Steenland",Richard,M.,Steenland,,,1,D,1,Rep,HD-022,49943962,193237,,Richard_Steenland,738663,0
22479,"Shri Thanedar",Shri,,Thanedar,,,1,D,1,Rep,HD-003,18110167,182346,,Shri_Thanedar,623071,0
22480,"Mark Tisdel",Mark,,Tisdel,,,2,R,1,Rep,HD-045,48875933,146854,,Mark_Tisdel,738732,0
22481,"Regina Weiss",Regina,,Weiss,,,1,D,1,Rep,HD-027,40311506,193207,,Regina_Weiss,738675,0
22482,"Stephanie Young",Stephanie,A.,Young,,,1,D,1,Rep,HD-008,535913,37926,,Stephanie_Young,661843,0
22747,"Pat Outman",Patrick,,Outman,,Pat,2,R,1,Rep,HD-070,49943934,193128,,Pat_Outman,738825,0
22748,"Tullio Liberati",Tullio,,Liberati,Jr.,,1,D,1,Rep,HD-013,181581,193173,,Tullio_Liberati,738652,0
23139,"Terence Mekoski",Terence,H.,Mekoski,,,2,R,1,Rep,HD-036,52779885,196223,,Terence_Mekoski,807474,0
23140,"Jeffrey Pepper",Jeffrey,,Pepper,,,1,D,1,Rep,HD-016,54484287,201443,,Jeffrey_Pepper,807475,0
23142,"Carol Glanville",Carol,,Glanville,,,1,D,1,Rep,HD-074,54484299,202131,,Carol_Glanville,807472,0
23143,"Mike Harris",Mike,R.,Harris,,,2,R,1,Rep,HD-043,26298103,201449,,Mike_R._Harris_(Michigan_House_of_Representatives_candidate),807473,0
