bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
907915,1454337,text,36238,text/html,Introduced,https://legiscan.com/MI/text/HB4001/id/1454337,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4001.htm
907561,1454075,text,103361,text/html,Introduced,https://legiscan.com/MI/text/HB4002/id/1454075,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4002.htm
907589,1454098,text,24254,text/html,Introduced,https://legiscan.com/MI/text/HB4003/id/1454098,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4003.htm
908086,1454465,text,49801,text/html,Introduced,https://legiscan.com/MI/text/HB4004/id/1454465,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4004.htm
907490,1454027,text,15654,text/html,Introduced,https://legiscan.com/MI/text/HB4005/id/1454027,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4005.htm
907526,1454051,text,12526,text/html,Introduced,https://legiscan.com/MI/text/HB4006/id/1454051,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4006.htm
907980,1454387,text,13717,text/html,Introduced,https://legiscan.com/MI/text/HB4007/id/1454387,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4007.htm
907458,1454003,text,17694,text/html,Introduced,https://legiscan.com/MI/text/HB4008/id/1454003,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4008.htm
908019,1454414,text,31427,text/html,Introduced,https://legiscan.com/MI/text/HB4009/id/1454414,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4009.htm
907744,1454216,text,115481,text/html,Introduced,https://legiscan.com/MI/text/HB4010/id/1454216,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4010.htm
907880,1454313,text,6899,text/html,Introduced,https://legiscan.com/MI/text/HB4011/id/1454313,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4011.htm
907778,1454240,text,10180,text/html,Introduced,https://legiscan.com/MI/text/HB4012/id/1454240,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4012.htm
907655,1454148,text,9580,text/html,Introduced,https://legiscan.com/MI/text/HB4013/id/1454148,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4013.htm
907655,1559752,text,14413,text/html,Engrossed,https://legiscan.com/MI/text/HB4013/id/1559752,http://www.legislature.mi.gov/documents/2017-2018/billengrossed/House/htm/2017-HEBH-4013.htm
907655,1633551,text,14277,text/html,Engrossed,https://legiscan.com/MI/text/HB4013/id/1633551,http://www.legislature.mi.gov/documents/2017-2018/billengrossed/House/htm/2017-HEBS-4013.htm
907655,1635347,text,5223,text/html,Enrolled,https://legiscan.com/MI/text/HB4013/id/1635347,http://www.legislature.mi.gov/documents/2017-2018/billenrolled/House/htm/2017-HNB-4013.htm
907655,1641193,text,5623,text/html,Chaptered,https://legiscan.com/MI/text/HB4013/id/1641193,http://www.legislature.mi.gov/documents/2017-2018/publicact/htm/2017-PA-0059.htm
908053,1454438,text,8251,text/html,Introduced,https://legiscan.com/MI/text/HB4014/id/1454438,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4014.htm
907948,1454363,text,21315,text/html,Introduced,https://legiscan.com/MI/text/HB4015/id/1454363,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4015.htm
908115,1454487,text,24842,text/html,Introduced,https://legiscan.com/MI/text/HB4016/id/1454487,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4016.htm
910257,1456755,text,9315,text/html,Introduced,https://legiscan.com/MI/text/HB4017/id/1456755,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4017.htm
909987,1456606,text,12356,text/html,Introduced,https://legiscan.com/MI/text/HB4018/id/1456606,http://www.legislature.mi.gov/documents/2017-2018/billintroduced/House/htm/2017-HIB-4018.htm
