bill_id,people_id,position
906212,14529,1
906246,14529,1
906279,14529,1
906576,14529,1
906613,14529,1
906869,14529,1
907458,17083,1
907490,17083,1
907526,17083,1
907561,14537,1
907589,17083,1
907655,17083,1
907744,17083,1
907778,17083,1
907880,17083,1
907915,17065,1
907948,17083,1
907980,17083,1
908019,17083,1
908053,17083,1
908086,17083,1
908115,18000,1
909167,11464,1
909285,11464,1
909405,11464,1
909523,14519,1
909643,11464,1
909755,11464,1
909765,17097,1
909793,14527,1
909825,14527,1
909857,14527,1
909889,14527,1
909921,14527,1
909955,18000,1
909987,14521,1
910020,18744,1
910056,17062,1
910087,17062,1
910122,14521,1
910156,14527,1
910191,17062,1
910226,16057,1
910257,14521,1
910289,17097,1
910325,14527,1
910389,18742,1
910421,14527,1
910456,14521,1
910490,18746,1
910524,17066,1
910557,18746,1
916636,2790,1
917005,2862,1
917096,14527,1
917105,2957,1
917118,17925,1
917132,14526,1
917141,14535,1
917155,2864,1
917171,17015,1
917183,2957,1
917195,11465,1
917206,17080,1
917219,10833,1
917232,10853,1
917244,11458,1
917257,2809,1
917273,19008,1
917286,2884,1
917297,10849,1
917310,13925,1
917324,2809,1
917334,2862,1
917352,2864,1
917365,2957,1
917372,14527,1
917388,17080,1
917403,10833,1
917416,17096,1
917425,2864,1
917438,2859,1
917456,11468,1
917468,14527,1
917479,2957,1
917491,2851,1
917502,18000,1
917514,10849,1
917532,17080,1
917539,10853,1
917548,2794,1
917569,17015,1
917579,10642,1
917589,14527,1
917607,2864,1
917618,2855,1
917628,14527,1
917641,2864,1
917655,17083,1
917667,10642,1
917681,10851,1
917696,14535,1
917705,10833,1
917716,10833,1
917731,11468,1
917746,14527,1
917756,2864,1
917768,2957,1
917785,10848,1
917793,2957,1
917807,17083,1
917821,10851,1
917833,11468,1
917849,2874,1
917860,2957,1
917874,2811,1
917886,2866,1
917899,2809,1
917912,2855,1
917923,10853,1
917936,14526,1
917948,2857,1
917963,11458,1
917976,2957,1
917987,2857,1
917998,10833,1
918012,11166,1
918022,10849,1
918029,10642,1
928656,2957,1
928732,11166,1
928810,2855,1
928888,17213,1
928964,14523,1
929042,17213,1
929119,11166,1
929196,11468,1
929275,11465,1
929354,11468,1
929431,17213,1
929509,17213,1
929585,11468,1
929671,19119,1
929696,14524,1
929724,17015,1
929756,14524,1
929787,14524,1
929819,14524,1
929850,17069,1
929882,14533,1
929910,14524,1
929941,14524,1
929975,14524,1
930005,17093,1
930035,14524,1
930067,17093,1
930097,17093,1
930128,17093,1
930158,14524,1
930188,14524,1
930219,17015,1
931674,11468,1
931825,17071,1
931976,14523,1
932192,17093,1
932274,17093,1
932319,18740,1
932361,2884,1
932406,18749,1
932449,17925,1
932493,17082,1
932538,18749,1
932580,17093,1
932623,17064,1
932664,2866,1
933630,17093,1
933731,11468,1
933783,2957,1
933886,11469,1
933937,17064,1
933989,2957,1
934040,19137,1
934088,2957,1
934102,11469,1
934114,14527,1
934128,14522,1
934146,14532,1
934163,17090,1
934184,14532,1
934199,2811,1
934219,14539,1
934236,14527,1
934256,18753,1
934271,14532,1
934290,13925,1
934307,18753,1
934323,17086,1
934343,17083,1
934361,14539,1
934378,14539,1
934395,14532,1
934411,14533,1
934430,11469,1
934448,14527,1
934465,14537,1
934483,18768,1
934502,14536,1
934517,18751,1
934533,18753,1
938237,11464,1
938379,17385,1
938531,18765,1
938545,16057,1
938568,10848,1
938591,17080,1
938617,17064,1
938641,17385,1
938669,18761,1
938694,2855,1
938721,14540,1
938746,2950,1
938774,14524,1
938802,17078,1
938830,11166,1
938852,2884,1
938880,17063,1
938907,11468,1
938932,17091,1
938958,2884,1
938984,2790,1
939007,17091,1
939030,11468,1
939062,11468,1
939086,18751,1
939115,18742,1
939141,17063,1
939167,14517,1
939194,2950,1
939221,18743,1
939243,11459,1
939271,14526,1
939298,17077,1
939327,10853,1
939352,17087,1
939379,14523,1
939405,17078,1
939433,17093,1
939458,17091,1
939484,14517,1
939506,2866,1
940674,14535,1
940911,17088,1
941271,17093,1
