bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
224252,74401,2011-04-26,House,"Reported With Recommendation For Referral To Committee On Families, Children, And Seniors",14,0,0,0,14
224252,83811,2011-05-24,House,"Reported With Recommendation Without Amendment",6,2,0,0,8
224252,90840,2011-06-08,House,"House Third Reading: Given Immediate Effect Roll Call # 166",63,46,0,0,109
224252,103802,2011-12-01,Senate,"Reported Favorably Without Amendment",5,2,0,0,7
224252,215183,2012-12-06,Senate,"Senate Third Reading: Passed Roll Call # 863",22,4,12,0,38
224252,215332,2012-12-11,House,"House Third Reading:  Roll Call # 721",58,51,0,0,109
224253,55102,2011-02-09,House,"Reported With Recommendation With Substitute H-2",15,0,0,0,15
224253,55103,2011-02-17,House,"House Third Reading: Given Immediate Effect Roll Call # 9",109,0,0,0,109
224253,66746,2011-04-13,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
224253,76905,2011-05-04,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 122",36,0,1,1,38
224254,79258,2011-05-10,House,"Reported With Recommendation Without Amendment",5,4,0,0,9
224254,100735,2011-08-24,House,"House Third Reading: Given Immediate Effect Roll Call # 307",72,36,0,0,108
224254,102709,2011-10-04,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
224254,103209,2011-11-03,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 649",24,14,0,0,38
224254,103313,2011-11-09,House,"House Third Reading: Senate Amendment(s) Concurred In Roll Call # 461",69,39,0,0,108
224255,79275,2011-05-10,House,"Reported With Recommendation Without Amendment",5,4,0,0,9
224255,100741,2011-08-24,House,"House Third Reading: Given Immediate Effect Roll Call # 308",72,36,0,0,108
224262,55400,2011-03-10,House,"Reported With Recommendation With Substitute H-1",15,1,0,0,16
224262,56141,2011-03-24,House,"House Third Reading: Given Immediate Effect Roll Call # 57",99,11,0,0,110
224262,86135,2011-05-25,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
224265,80005,2011-05-11,House,"Reported With Recommendation With Substitute H-2",11,0,0,0,11
224265,93581,2011-06-16,House,"House Third Reading: Given Immediate Effect Roll Call # 197",100,8,0,0,108
224266,79936,2011-05-11,House,"Reported With Recommendation With Substitute H-1",11,0,0,0,11
224266,93520,2011-06-16,House,"House Third Reading: Given Immediate Effect Roll Call # 198",105,3,0,0,108
224266,103234,2011-11-03,Senate,"Reported Favorably Without Amendment",5,2,0,0,7
224266,103413,2011-11-10,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 682",27,9,0,2,38
224274,95117,2011-06-22,House,"Reported With Recommendation With Substitute H-3",13,3,0,0,16
