bill_id,people_id,position
219740,2838,1
219740,2874,0
219741,2838,2
219741,2874,1
219742,2838,0
219742,2874,0
219743,2838,2
219743,2874,1
219744,2838,2
219744,2874,1
219745,2857,3
219745,2862,1
219745,2864,5
219745,2957,4
219745,10640,2
219746,2857,4
219746,2862,1
219746,2864,6
219746,2957,5
219746,10640,3
219746,10642,2
219747,2857,4
219747,2862,1
219747,2864,6
219747,2957,5
219747,10640,3
219747,10642,2
219748,2857,4
219748,2862,1
219748,2864,6
219748,2957,5
219748,10640,3
219748,10642,2
219749,2857,4
219749,2862,1
219749,2864,6
219749,2957,5
219749,10640,3
219749,10642,2
224250,2779,6
224250,2782,5
224250,2809,7
224250,2812,2
224250,2843,3
224250,10822,1
224250,10823,4
224250,10824,8
224251,10825,1
224252,2776,0
224252,2809,0
224252,2810,0
224252,2811,0
224252,2835,0
224252,2856,0
224252,2858,0
224252,2860,0
224252,2877,0
224252,2923,0
224252,10822,0
224252,10823,0
224252,10825,0
224252,10828,0
224252,10833,0
224252,10834,0
224252,10835,0
224252,10838,0
224252,10839,0
224252,10842,0
224252,10843,0
224252,10844,0
224252,10847,0
224252,10848,0
224252,10849,0
224252,10854,0
224252,10856,0
224252,11173,0
224252,11182,0
224252,11185,0
224252,11187,0
224252,11190,0
224253,2860,1
224254,10822,0
224255,10822,0
224256,10822,1
224257,2779,0
224258,2779,0
224259,2779,0
224260,2779,1
224261,2779,1
224262,2776,0
224262,2778,0
224262,2779,0
224262,2784,0
224262,2786,0
224262,2803,0
224262,2808,0
224262,2809,0
224262,2856,0
224262,2861,0
224262,2874,0
224262,2875,0
224262,10822,0
224262,10823,0
224262,10825,0
224262,10829,0
224262,10833,0
224262,10834,0
224262,10835,0
224262,10838,0
224262,10840,0
224262,10848,0
224262,10849,0
224262,10854,0
224262,10855,0
224262,11182,0
224262,11189,0
224262,11193,0
224263,2779,1
224264,2779,1
224265,2874,1
224265,10826,2
224266,2803,0
224266,2810,0
224266,2811,0
224266,2877,0
224266,10826,0
224266,10828,0
224267,10829,1
224268,2811,2
224268,2835,1
224268,10826,3
224269,2856,3
224269,2875,4
224269,2876,2
224269,10828,5
224269,10830,1
224269,10832,6
224269,10833,7
224269,10834,8
224270,2810,1
224270,10829,2
224270,10835,3
224270,10836,4
224271,2810,1
224271,2811,5
224271,10829,2
224271,10835,3
