bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1652423,1233245,2023-01-11,House,"House Third Reading: Roll Call # 2",100,9,0,0,109
1652552,1233246,2023-01-11,House,"House Third Reading: Roll Call # 3",105,4,0,0,109
1656317,1271721,2023-03-08,House,"Reported With Recommendation Without Amendment",7,3,0,0,10
1656317,1271722,2023-03-08,House,"House Third Reading: Given Immediate Effect Roll Call # 22",56,53,0,0,109
1656317,1278050,2023-03-15,Senate,"Reported Favorably Without Amendment",3,1,0,0,4
1656317,1280706,2023-03-21,Senate,"Senate Third Reading: Passed Roll Call # 99",20,16,0,2,38
1656317,1345081,2023-03-21,House,"House Third Reading: Roll Call # 37",56,52,0,0,108
1656337,1449437,2024-05-23,House,"Reported With Recommendation With Substitute H-4",9,1,0,0,10
1656358,1276370,2023-03-14,Senate,"Reported Favorably Without Amendment",5,2,0,0,7
1656358,1276371,2023-03-14,Senate,"Senate Third Reading: Passed Roll Call # 74",20,17,0,1,38
1656358,1280991,2023-03-21,House,"House Third Reading: Given Immediate Effect Roll Call # 33",56,52,0,0,108
1656385,1236709,2023-01-26,Senate,"Senate Third Reading: Passed Roll Call # 14",23,15,0,0,38
1656385,1236710,2023-01-26,Senate,"Reported Favorably Without Amendment",6,0,0,0,6
1656430,1348072,2023-06-13,House,"Reported With Recommendation Without Amendment",10,1,0,0,11
1656430,1356097,2023-10-12,House,"House Third Reading: Given Immediate Effect Roll Call # 355",100,10,0,0,110
1656430,1395792,2024-02-21,Senate,"Reported Favorably Without Amendment",10,0,0,0,10
1656430,1411769,2024-03-19,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 60",37,0,0,1,38
1656476,1238457,2023-01-26,Senate,"Senate Third Reading: Passed Roll Call # 9",20,18,0,0,38
1656476,1239441,2023-01-31,House,"House Third Reading: Given Immediate Effect Roll Call # 10",56,53,0,0,109
1656567,1242366,2023-02-01,Senate,"Reported Favorably Without Amendment",5,1,0,0,6
