bill_id,people_id,position
1652293,21698,1
1652293,22472,2
1652423,21698,1
1652423,22472,2
1652552,21698,1
1652552,22472,2
1652681,14536,1
1652814,21698,1
1652814,22472,2
1652946,21698,1
1652946,22472,2
1653077,14536,1
1653209,14536,1
1653339,14536,1
1653470,14536,1
1653600,14536,1
1653732,21698,1
1653732,22472,2
1655646,18767,64
1655646,20367,22
1655646,20419,36
1655646,20643,8
1655646,20646,13
1655646,20651,30
1655646,20660,35
1655646,20662,39
1655646,20663,44
1655646,20666,49
1655646,20667,59
1655646,20669,61
1655646,20676,67
1655646,21281,28
1655646,21624,45
1655646,22461,6
1655646,22462,9
1655646,22463,10
1655646,22464,11
1655646,22468,23
1655646,22469,37
1655646,22470,43
1655646,22473,50
1655646,22474,53
1655646,22475,54
1655646,22476,58
1655646,22480,62
1655646,22481,65
1655646,22482,68
1655646,22747,47
1655646,23142,26
1655646,23143,31
1655646,24270,1
1655646,24313,3
1655646,24315,12
1655646,24317,15
1655646,24318,16
1655646,24319,19
1655646,24320,20
1655646,24321,21
1655646,24322,24
1655646,24323,27
1655646,24324,32
1655646,24327,38
1655646,24330,40
1655646,24331,41
1655646,24332,42
1655646,24333,46
1655646,24334,48
1655646,24336,51
1655646,24337,57
1655646,24338,60
1655646,24340,63
1655646,24342,66
1655646,24347,2
1655646,24348,4
1655646,24349,5
1655646,24350,7
1655646,24351,14
1655646,24352,17
1655646,24353,18
1655646,24354,25
1655646,24355,29
1655646,24356,33
1655646,24358,34
1655646,24360,55
1655646,24361,56
1655646,24364,52
1655647,18767,67
1655647,20367,22
1655647,20419,37
1655647,20643,7
1655647,20645,13
1655647,20646,12
1655647,20651,30
1655647,20660,36
1655647,20662,40
1655647,20663,45
1655647,20666,50
1655647,20667,60
1655647,20669,64
1655647,20676,70
1655647,21281,28
1655647,21624,46
1655647,22462,8
1655647,22463,9
1655647,22464,10
1655647,22468,23
1655647,22469,38
1655647,22470,44
1655647,22473,51
1655647,22474,54
1655647,22475,55
1655647,22476,59
1655647,22480,65
1655647,22481,68
1655647,22482,71
1655647,22747,48
1655647,23142,26
1655647,23143,31
1655647,24269,1
1655647,24270,63
1655647,24313,3
1655647,24315,11
1655647,24317,15
1655647,24318,16
1655647,24319,19
1655647,24320,20
1655647,24321,21
1655647,24322,24
1655647,24323,27
1655647,24324,32
1655647,24327,39
1655647,24330,41
1655647,24331,42
1655647,24332,43
1655647,24333,47
1655647,24334,49
1655647,24336,52
1655647,24337,58
1655647,24338,61
1655647,24339,62
1655647,24340,66
1655647,24342,69
1655647,24347,2
1655647,24348,4
1655647,24349,5
1655647,24350,6
1655647,24351,14
1655647,24352,17
1655647,24353,18
1655647,24354,25
1655647,24355,29
1655647,24356,33
1655647,24358,34
1655647,24359,35
1655647,24360,56
1655647,24361,57
1655647,24364,53
1655648,18767,67
1655648,20367,22
1655648,20419,36
1655648,20643,8
1655648,20645,14
1655648,20646,13
1655648,20651,30
1655648,20660,35
1655648,20662,39
1655648,20663,44
1655648,20666,49
1655648,20667,59
1655648,20669,63
1655648,20676,70
1655648,21281,28
1655648,21624,45
1655648,22461,6
1655648,22462,9
1655648,22463,10
1655648,22464,11
1655648,22468,23
1655648,22469,37
1655648,22470,43
1655648,22473,50
1655648,22474,53
1655648,22475,54
1655648,22476,58
1655648,22480,65
1655648,22481,68
1655648,22482,71
1655648,22747,47
1655648,23142,26
1655648,23143,1
1655648,24270,62
1655648,24313,3
1655648,24315,12
1655648,24317,16
1655648,24318,17
1655648,24319,20
1655648,24320,21
1655648,24322,24
1655648,24323,27
1655648,24324,31
1655648,24327,38
1655648,24330,40
1655648,24331,41
1655648,24332,42
1655648,24333,46
1655648,24334,48
1655648,24336,51
1655648,24337,57
1655648,24338,60
1655648,24340,66
1655648,24342,69
1655648,24347,2
1655648,24348,4
