bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
1143408,1841005,text,30394,text/html,Introduced,https://legiscan.com/MI/text/HB4001/id/1841005,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4001.htm
1143408,1937242,text,17051,text/html,Engrossed,https://legiscan.com/MI/text/HB4001/id/1937242,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBH-4001.htm
1143408,2002608,text,17591,text/html,Engrossed,https://legiscan.com/MI/text/HB4001/id/2002608,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBS-4001.htm
1143408,2010171,text,43159,text/html,Enrolled,https://legiscan.com/MI/text/HB4001/id/2010171,http://www.legislature.mi.gov/documents/2019-2020/billenrolled/House/htm/2019-HNB-4001.htm
1143408,2017523,text,6482,text/html,Chaptered,https://legiscan.com/MI/text/HB4001/id/2017523,http://www.legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0008.htm
1143141,1840829,text,49215,text/html,Introduced,https://legiscan.com/MI/text/HB4002/id/1840829,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4002.htm
1143141,1937463,text,49647,text/html,Engrossed,https://legiscan.com/MI/text/HB4002/id/1937463,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBH-4002.htm
1143141,2002291,text,36370,text/html,Engrossed,https://legiscan.com/MI/text/HB4002/id/2002291,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBS-4002.htm
1143141,2010165,text,49718,text/html,Enrolled,https://legiscan.com/MI/text/HB4002/id/2010165,http://www.legislature.mi.gov/documents/2019-2020/billenrolled/House/htm/2019-HNB-4002.htm
1143141,2017250,text,10933,text/html,Chaptered,https://legiscan.com/MI/text/HB4002/id/2017250,http://www.legislature.mi.gov/documents/2019-2020/publicact/htm/2019-PA-0009.htm
1143217,1840878,text,30150,text/html,Introduced,https://legiscan.com/MI/text/HB4003/id/1840878,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4003.htm
1143312,1840943,text,17582,text/html,Introduced,https://legiscan.com/MI/text/HB4004/id/1840943,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4004.htm
1143289,1840929,text,11574,text/html,Introduced,https://legiscan.com/MI/text/HB4005/id/1840929,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4005.htm
1143168,1840846,text,151680,text/html,Introduced,https://legiscan.com/MI/text/HB4006/id/1840846,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4006.htm
1143188,1840858,text,80044,text/html,Introduced,https://legiscan.com/MI/text/HB4007/id/1840858,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4007.htm
1143188,1963801,text,88415,text/html,Engrossed,https://legiscan.com/MI/text/HB4007/id/1963801,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBH-4007.htm
1143044,1840767,text,35730,text/html,Introduced,https://legiscan.com/MI/text/HB4008/id/1840767,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4008.htm
1143044,1964276,text,47835,text/html,Engrossed,https://legiscan.com/MI/text/HB4008/id/1964276,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBH-4008.htm
1143447,1841038,text,9525,text/html,Introduced,https://legiscan.com/MI/text/HB4009/id/1841038,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4009.htm
1143447,1963808,text,10158,text/html,Engrossed,https://legiscan.com/MI/text/HB4009/id/1963808,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBH-4009.htm
1143120,1840816,text,44135,text/html,Introduced,https://legiscan.com/MI/text/HB4010/id/1840816,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4010.htm
1143120,1965259,text,45076,text/html,Engrossed,https://legiscan.com/MI/text/HB4010/id/1965259,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBH-4010.htm
1143336,1840961,text,39503,text/html,Introduced,https://legiscan.com/MI/text/HB4011/id/1840961,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4011.htm
1143336,1964269,text,39892,text/html,Engrossed,https://legiscan.com/MI/text/HB4011/id/1964269,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBH-4011.htm
1143261,1840908,text,8878,text/html,Introduced,https://legiscan.com/MI/text/HB4012/id/1840908,http://www.legislature.mi.gov/documents/2019-2020/billintroduced/House/htm/2019-HIB-4012.htm
1143261,1963807,text,9378,text/html,Engrossed,https://legiscan.com/MI/text/HB4012/id/1963807,http://www.legislature.mi.gov/documents/2019-2020/billengrossed/House/htm/2019-HEBH-4012.htm
