bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
1142512,782278,2019-01-09,House,"House Third Reading: Roll Call # 3",110,0,0,0,110
1142610,782279,2019-01-09,House,"House Third Reading: Roll Call # 2",110,0,0,0,110
1143044,820371,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143044,821515,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143044,825215,2019-03-19,House,"House Third Reading: Given Immediate Effect Roll Call # 23",107,0,0,0,107
1143068,820407,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143068,821587,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143068,841162,2019-04-09,House,"House Third Reading: Given Immediate Effect Roll Call # 36",109,0,0,0,109
1143093,820554,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143093,820555,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143093,821757,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143093,825301,2019-03-19,House,"House Third Reading: Given Immediate Effect Roll Call # 28",107,0,0,0,107
1143120,820397,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143120,821359,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143120,825288,2019-03-19,House,"House Third Reading: Given Immediate Effect Roll Call # 26",107,0,0,0,107
1143141,810874,2019-02-26,House,"Reported With Recommendation With Substitute H-3",12,0,0,0,12
1143141,811749,2019-02-28,House,"House Third Reading: Given Immediate Effect Roll Call # 6",107,3,0,0,110
1143141,851876,2019-04-23,Senate,"Reported Favorably With Substitute S-1",7,0,0,0,7
1143141,854099,2019-04-25,Senate,"Senate Third Reading: Given Immediate Effect Roll Call # 44",37,1,0,0,38
1143141,854229,2019-04-25,House,"House Third Reading: Roll Call # 74",107,3,0,0,110
1143188,820265,2019-03-12,House,"Reported With Recommendation With Substitute H-3",5,0,0,0,5
1143188,821442,2019-03-12,House,"Reported With Recommendation With Substitute H-3",5,0,0,0,5
1143188,825256,2019-03-19,House,"House Third Reading: Given Immediate Effect Roll Call # 22",107,0,0,0,107
1143237,820219,2019-03-12,House,"Reported With Recommendation With Substitute H-3",5,0,0,0,5
1143237,821339,2019-03-12,House,"Reported With Recommendation With Substitute H-3",5,0,0,0,5
1143237,825169,2019-03-19,House,"House Third Reading: Given Immediate Effect Roll Call # 29",107,0,0,0,107
1143261,820585,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143261,821771,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143261,825317,2019-03-19,House,"House Third Reading: Given Immediate Effect Roll Call # 27",107,0,0,0,107
1143336,820230,2019-03-12,House,"Reported With Recommendation With Substitute H-2",5,0,0,0,5
1143336,821346,2019-03-12,House,"Reported With Recommendation With Substitute H-2",5,0,0,0,5
1143336,825213,2019-03-19,House,"House Third Reading: Given Immediate Effect Roll Call # 24",107,0,0,0,107
1143359,820399,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143359,821562,2019-03-12,House,"Reported With Recommendation With Substitute H-1",5,0,0,0,5
1143359,825252,2019-03-19,House,"House Third Reading: Given Immediate Effect Roll Call # 30",107,0,0,0,107
1143408,810856,2019-02-26,House,"Reported With Recommendation With Substitute H-2",12,0,0,0,12
1143408,811743,2019-02-28,House,"House Third Reading: Given Immediate Effect Roll Call # 5",107,3,0,0,110
1143408,852106,2019-04-23,Senate,"Reported Favorably With Substitute S-1",7,0,0,0,7
