bill_id,people_id,position
1142175,2865,3
1142175,10849,1
1142175,17014,2
1142221,2865,3
1142221,10849,1
1142221,17014,2
1142265,17067,1
1142265,18761,2
1142317,17067,1
1142317,18761,2
1142365,2865,3
1142365,10849,1
1142365,17014,2
1142413,2865,3
1142413,10849,1
1142413,17014,2
1142459,17067,1
1142459,18761,2
1142512,17067,1
1142512,18761,2
1142560,17067,1
1142560,18761,2
1142610,17067,1
1142610,18761,2
1142655,2865,3
1142655,10849,1
1142655,17014,2
1143044,2851,66
1143044,17062,16
1143044,17073,28
1143044,17076,1
1143044,17077,31
1143044,17079,36
1143044,17080,43
1143044,17081,44
1143044,17082,45
1143044,17087,50
1143044,17088,52
1143044,17095,64
1143044,17096,67
1143044,17097,72
1143044,17310,25
1143044,17924,35
1143044,17925,70
1143044,18738,9
1143044,18739,7
1143044,18739,10
1143044,18740,11
1143044,18741,14
1143044,18742,19
1143044,18744,26
1143044,18747,2
1143044,18750,32
1143044,18752,38
1143044,18753,42
1143044,18755,3
1143044,18755,47
1143044,18760,54
1143044,18761,56
1143044,18763,58
1143044,18764,60
1143044,18765,61
1143044,18768,69
1143044,18769,76
1143044,18770,37
1143044,19119,29
1143044,19138,57
1143044,19142,17
1143044,19212,23
1143044,19450,18
1143044,19451,75
1143044,19699,10
1143044,20365,5
1143044,20366,4
1143044,20366,32
1143044,20367,8
1143044,20367,29
1143044,20368,34
1143044,20369,6
1143044,20369,13
1143044,20419,47
1143044,20642,12
1143044,20643,13
1143044,20644,15
1143044,20645,21
1143044,20646,20
1143044,20647,22
1143044,20648,24
1143044,20650,27
1143044,20651,30
1143044,20653,33
1143044,20656,39
1143044,20657,40
1143044,20658,41
1143044,20661,46
1143044,20662,48
1143044,20663,49
1143044,20664,51
1143044,20665,53
1143044,20666,55
1143044,20668,59
1143044,20669,62
1143044,20671,63
1143044,20672,65
1143044,20673,68
1143044,20674,71
1143044,20675,73
1143044,20676,74
1143068,2851,41
1143068,17066,14
1143068,17072,17
