bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
86852,365422,text,71971,text/html,Introduced,https://legiscan.com/MI/text/HB4001/id/365422,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4001.htm
86853,365450,text,38385,text/html,Introduced,https://legiscan.com/MI/text/HB4002/id/365450,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4002.htm
86854,365467,text,74317,text/html,Introduced,https://legiscan.com/MI/text/HB4003/id/365467,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4003.htm
86855,365480,text,17283,text/html,Introduced,https://legiscan.com/MI/text/HB4004/id/365480,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4004.htm
86856,365500,text,15524,text/html,Introduced,https://legiscan.com/MI/text/HB4005/id/365500,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4005.htm
86857,365526,text,16887,text/html,Introduced,https://legiscan.com/MI/text/HB4006/id/365526,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4006.htm
86858,365547,text,13440,text/html,Introduced,https://legiscan.com/MI/text/HB4007/id/365547,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4007.htm
86859,365561,text,42324,text/html,Introduced,https://legiscan.com/MI/text/HB4008/id/365561,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4008.htm
86860,365587,text,20350,text/html,Introduced,https://legiscan.com/MI/text/HB4009/id/365587,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4009.htm
86861,365604,text,10735,text/html,Introduced,https://legiscan.com/MI/text/HB4010/id/365604,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4010.htm
86862,365634,text,20567,text/html,Introduced,https://legiscan.com/MI/text/HB4011/id/365634,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4011.htm
86863,365658,text,7545,text/html,Introduced,https://legiscan.com/MI/text/HB4012/id/365658,http://www.legislature.mi.gov/documents/2009-2010/billintroduced/House/htm/2009-HIB-4012.htm
