bill_id,roll_call_id,date,chamber,description,yea,nay,nv,absent,total
209191,133889,2010-09-23,Senate,"Reported Favorably With Substitute S-1",7,0,0,0,7
209192,133897,2010-11-10,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
209192,133898,2010-12-01,House,"Reported With Recommendation Without Amendment",6,0,0,0,6
209449,134431,2010-09-22,House,"Reported With Recommendation Without Amendment",13,0,0,0,13
209521,134539,2010-09-23,Senate,"Reported Favorably With Substitute S-1",5,1,0,0,6
209708,134953,2010-11-09,Senate,"Reported Favorably With Substitute S-1",5,0,0,0,5
209708,134954,2010-11-30,House,"Reported With Recommendation With Substitute H-2",9,0,0,0,9
209718,135073,2010-11-10,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
209748,135107,2010-11-10,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
209748,135108,2010-12-01,House,"Reported With Recommendation With Substitute H-1",8,0,0,0,8
209749,135122,2010-12-01,House,"Reported With Recommendation Without Amendment",8,0,0,0,8
209804,135582,2010-11-10,House,"Reported With Recommendation With Substitute H-1",8,0,0,0,8
210286,135716,2010-11-10,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
210306,135845,2010-11-10,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
210309,135869,2010-11-10,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
210310,135875,2010-11-10,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
210311,135879,2010-11-10,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
210318,135924,2010-11-10,Senate,"Reported Favorably With Substitute S-1",4,0,0,0,4
210331,136005,2010-11-10,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
210331,136006,2010-12-01,House,"Reported With Recommendation Without Amendment",8,0,0,0,8
210332,136013,2010-11-10,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
210333,136024,2010-11-10,Senate,"Reported Favorably Without Amendment",4,0,0,0,4
210507,136075,2010-11-10,House,"Reported With Recommendation Without Amendment",7,0,0,0,7
