bill_id,document_id,document_type,document_size,document_mime,document_desc,url,state_link
681723,1074195,text,4224,text/html,Introduced,https://legiscan.com/MI/text/HB4001/id/1074195,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4001.htm
682002,1074354,text,49773,text/html,Introduced,https://legiscan.com/MI/text/HB4002/id/1074354,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4002.htm
681874,1074281,text,216596,text/html,Introduced,https://legiscan.com/MI/text/HB4003/id/1074281,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4003.htm
676641,1075842,text,28480,text/html,Introduced,https://legiscan.com/MI/text/HB4004/id/1075842,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4004.htm
681747,1074207,text,46212,text/html,Introduced,https://legiscan.com/MI/text/HB4005/id/1074207,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4005.htm
681850,1074268,text,19680,text/html,Introduced,https://legiscan.com/MI/text/HB4006/id/1074268,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4006.htm
681671,1074161,text,232533,text/html,Introduced,https://legiscan.com/MI/text/HB4007/id/1074161,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4007.htm
682153,1074439,text,10221,text/html,Introduced,https://legiscan.com/MI/text/HB4008/id/1074439,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4008.htm
681950,1074325,text,16218,text/html,Introduced,https://legiscan.com/MI/text/HB4009/id/1074325,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4009.htm
681368,1074005,text,17347,text/html,Introduced,https://legiscan.com/MI/text/HB4010/id/1074005,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4010.htm
681569,1074104,text,35225,text/html,Introduced,https://legiscan.com/MI/text/HB4011/id/1074104,http://www.legislature.mi.gov/documents/2015-2016/billintroduced/House/htm/2015-HIB-4011.htm
